"","OBJECTID","OBJECTID_1","acres","croptype","Band2","Band3","Band4","Band8","Band5","Band6","Band7","Band11","Band12","Band8A","EVI","GCI","NDTI","PSRI","SAVI"
"1",4747693,509422,2.29041846630941,"OLIVE",0.066792219877243,0.0942782089114189,0.114497415721416,0.28877654671669,0.158928111195564,0.237724289298058,0.274351000785828,0.282809942960739,0.191223546862602,0.303334414958954,0.296894788742065,2.13508892059326,0.194536373019218,0.206729486584663,0.290566802024841
"2",6506328,509427,100.990120590285,"WALNUT",0.0738458558917046,0.105356380343437,0.123617313802242,0.292594969272614,0.161819010972977,0.243041396141052,0.281108349561691,0.321727573871613,0.244314670562744,0.30474317073822,0.285675972700119,1.80936479568481,0.138327658176422,0.205653786659241,0.276558369398117
"3",6506331,509428,92.514153137854,"WALNUT",0.044081449508667,0.0738936811685562,0.0614626035094261,0.358046293258667,0.120304360985756,0.289923995733261,0.345970302820206,0.237137258052826,0.13654063642025,0.371739774942398,0.533155918121338,3.9674346446991,0.2768394947052,0.0630023553967476,0.483846783638
"4",6506333,509430,15.2693368030514,"WALNUT",0.0470298491418362,0.0759194865822792,0.0712709128856659,0.390476733446121,0.122834749519825,0.303555846214294,0.375658988952637,0.267568409442902,0.165323674678802,0.402912229299545,0.547575652599335,4.5968189239502,0.248327255249023,0.0874538943171501,0.495765298604965
"5",6506334,509431,84.3692891656799,"WALNUT",0.0425479635596275,0.0717229470610619,0.0586731806397438,0.350374460220337,0.117599628865719,0.282465130090714,0.337281048297882,0.241174265742302,0.141493394970894,0.363313555717468,0.529191911220551,4.0655369758606,0.267029404640198,0.0598660372197628,0.481433182954788
"6",6506335,509432,24.7011133030806,"WALNUT",0.0376196205615997,0.0673351660370827,0.0475631058216095,0.375650078058243,0.109782256186008,0.300425440073013,0.361724585294724,0.22050105035305,0.117729179561138,0.386943876743317,0.596217751502991,4.7484917640686,0.310294151306152,0.0353769697248936,0.533014595508575
"7",6506336,509433,37.7995884415848,"WALNUT",0.0383391529321671,0.0682557299733162,0.0493607260286808,0.382489681243896,0.112089976668358,0.3056720495224,0.369249910116196,0.227801442146301,0.125359788537025,0.394497692584991,0.599457323551178,4.68148851394653,0.292178064584732,0.037209939211607,0.536171615123749
"8",6506337,509434,82.7891038691678,"WALNUT",0.0422369465231895,0.0719431042671204,0.0566456355154514,0.380927354097366,0.114988304674625,0.307241946458817,0.369293659925461,0.237867757678032,0.13529147207737,0.39227694272995,0.579984068870544,4.51820802688599,0.284150809049606,0.0482291281223297,0.519314289093018
"9",6506338,509435,156.59865600414,"ALMOND",0.0450163669884205,0.0734198540449142,0.0565208718180656,0.366219162940979,0.112288221716881,0.293369382619858,0.356637239456177,0.203284293413162,0.117123045027256,0.377823829650879,0.567209661006927,4.06281471252441,0.275000661611557,0.0399411842226982,0.503752291202545
"10",6506339,509436,29.1711825180319,"WALNUT",0.0542997643351555,0.0874903053045273,0.085001565515995,0.377851724624634,0.140230312943459,0.305600613355637,0.364303678274155,0.283761948347092,0.185203105211258,0.388325542211533,0.499041736125946,3.63330936431885,0.221720784902573,0.106254085898399,0.456345289945602
"11",6506340,509437,74.8136377970041,"WALNUT",0.0368844196200371,0.0686149522662163,0.0528407953679562,0.413220882415771,0.115668565034866,0.329563170671463,0.399693042039871,0.246761158108711,0.138261437416077,0.421928435564041,0.624465525150299,5.36259269714355,0.29718428850174,0.0543787963688374,0.558781564235687
"12",6506341,509438,32.1057393249343,"WALNUT",0.0409734025597572,0.0736835524439812,0.0575123280286789,0.410400003194809,0.120931327342987,0.327545493841171,0.396454840898514,0.25074365735054,0.143547892570496,0.420416682958603,0.610760629177094,4.86068868637085,0.283806771039963,0.0548170283436775,0.545215845108032
"13",6506342,509439,99.9481740854603,"WALNUT",0.0381780937314034,0.0703539177775383,0.0521412752568722,0.427514284849167,0.116102732717991,0.337014526128769,0.413776516914368,0.24035756289959,0.13232809305191,0.437509953975677,0.648139417171478,5.43820714950562,0.305007129907608,0.0475492179393768,0.572663962841034
"14",6506343,509440,314.815836593498,"ALMOND",0.0559068210422993,0.0907264575362206,0.0704915672540665,0.309363842010498,0.130667954683304,0.264516860246658,0.29853954911232,0.213506042957306,0.136365592479706,0.317625969648361,0.456625610589981,2.50874447822571,0.234302490949631,0.0566702485084534,0.408135712146759
"15",6506344,509441,151.094434240933,"WALNUT",0.0381532683968544,0.0647669360041618,0.0520286709070206,0.337392896413803,0.106904976069927,0.268648236989975,0.324426561594009,0.206598892807961,0.114153236150742,0.351631313562393,0.523610591888428,4.39196538925171,0.295257419347763,0.0546473376452923,0.480392158031464
"16",6506345,509442,223.780950515276,"ALMOND",0.088030219078064,0.123234763741493,0.156895264983177,0.307949423789978,0.194998472929001,0.253961861133575,0.289621889591217,0.371708273887634,0.285239040851593,0.323928534984589,0.237346395850182,1.52678883075714,0.132262542843819,0.272300243377686,0.234190225601196
"17",6506346,509443,21.0971563829603,"ALMOND",0.103353731334209,0.146146729588509,0.193793371319771,0.258893102407455,0.217348217964172,0.231711760163307,0.251826494932175,0.365547984838486,0.32396873831749,0.269111663103104,0.0994099825620651,0.782650232315063,0.0611506029963493,0.391514539718628,0.10233549028635
"18",6506460,509444,99.6999165984542,"WALNUT",0.088874988257885,0.125771641731262,0.160018846392632,0.251102268695831,0.186884939670563,0.2187320291996,0.242408201098442,0.336011052131653,0.285692363977432,0.261939853429794,0.152956366539001,1.14215159416199,0.0908956378698349,0.335367113351822,0.150237828493118
"19",6509908,509466,19.4711899142348,"WALNUT",0.0424450933933258,0.0686289221048355,0.0560934953391552,0.404380768537521,0.1082923412323,0.309499591588974,0.391332298517227,0.228153958916664,0.133725240826607,0.416642814874649,0.612408876419067,5.2192702293396,0.269241601228714,0.0466979257762432,0.543204069137573
"20",6509909,509467,20.2158587417194,"WALNUT",0.0428256392478943,0.0686277970671654,0.0587178505957127,0.382286757230759,0.108761332929134,0.295008569955826,0.370537519454956,0.225954040884972,0.136966496706009,0.394281059503555,0.573831975460052,4.89122676849365,0.252020806074142,0.0560724288225174,0.516013741493225
"21",6509910,509468,22.7076563130976,"WALNUT",0.0602093227207661,0.0920007228851318,0.0843676552176476,0.407682567834854,0.13813304901123,0.325089812278748,0.398496121168137,0.256782650947571,0.172331720590591,0.416289478540421,0.552995979785919,3.57824850082397,0.201755434274673,0.0800630003213882,0.485384315252304
"22",6509911,509469,23.2148597245988,"WALNUT",0.0409488938748837,0.0664286091923714,0.0510014593601227,0.421271741390228,0.102484919130802,0.323283165693283,0.409721106290817,0.213861390948296,0.123861886560917,0.431191295385361,0.649065673351288,6.41628646850586,0.2935930788517,0.0357810221612453,0.569643437862396
"23",6509912,509470,51.7938878733839,"WALNUT",0.0518223457038403,0.077718161046505,0.0741362646222115,0.336045771837234,0.118090897798538,0.267024964094162,0.324205100536346,0.241730824112892,0.1601402759552,0.346363693475723,0.471952468156815,3.73859739303589,0.211273357272148,0.0852307379245758,0.432319700717926
"24",6509913,509471,42.7034921638695,"WALNUT",0.0406239703297615,0.065959557890892,0.0543238669633865,0.371282190084457,0.102371543645859,0.285800397396088,0.357834070920944,0.217680081725121,0.130649000406265,0.380134701728821,0.570970475673676,4.98763275146484,0.259384661912918,0.0513062514364719,0.514213919639587
"25",6514963,509504,115.013962972917,"WALNUT",0.0340079478919506,0.059706587344408,0.0433100685477257,0.428748846054077,0.0975363850593567,0.327685534954071,0.415346533060074,0.211200699210167,0.11251387745142,0.442157477140427,0.673961400985718,6.85070466995239,0.321477919816971,0.0310899522155523,0.594638705253601
"26",6514964,509505,41.5048724045876,"WALNUT",0.0318077877163887,0.0558825880289078,0.0411989763379097,0.426269114017487,0.093470998108387,0.321697533130646,0.411690711975098,0.209792628884315,0.111512310802937,0.439429014921188,0.672408640384674,7.02683544158936,0.314944595098495,0.0303861852735281,0.597303092479706
"27",6514995,509536,12.6332455449688,"GRAPE, WINE",0.070852018892765,0.106547825038433,0.134104058146477,0.35850578546524,0.183576062321663,0.286052197217941,0.335829198360443,0.360918521881104,0.248631924390793,0.371316194534302,0.345115572214127,2.4125382900238,0.185756430029869,0.223039120435715,0.338440656661987
"28",6514996,509537,3.0763848979041,"GRAPE, WINE",0.0624172240495682,0.0994418561458588,0.120203241705894,0.364174395799637,0.177320405840874,0.29141703248024,0.342423468828201,0.342448770999908,0.229667618870735,0.3797867000103,0.377845704555511,2.71408176422119,0.198538839817047,0.20096181333065,0.37072291970253
"29",6514997,509538,2.76113070792375,"GRAPE, WINE",0.0696240440011024,0.101124204695225,0.131995111703873,0.324309557676315,0.176625117659569,0.25893834233284,0.303568601608276,0.356400728225708,0.24578233063221,0.339400202035904,0.300868570804596,2.29139542579651,0.183556690812111,0.24199004471302,0.30078861117363
"30",6514998,509539,6.74686738942782,"GRAPE, WINE",0.0694305747747421,0.101410023868084,0.12148517370224,0.350256472826004,0.169035464525223,0.274931609630585,0.328493893146515,0.33637923002243,0.237972810864449,0.361687213182449,0.366620242595673,2.6003258228302,0.172267511487007,0.193653360009193,0.351938277482986
"31",6514999,509540,104.624398920367,"WALNUT",0.054168239235878,0.0821501091122627,0.0901155844330788,0.366932958364487,0.13524566590786,0.283515512943268,0.349955171346664,0.297863990068436,0.196200653910637,0.380025446414948,0.463034361600876,3.75026512145996,0.211162552237511,0.13098369538784,0.433434098958969
"32",6516507,509620,142.619849013715,"ALMOND",0.048484917730093,0.0781513527035713,0.0598144792020321,0.333794295787811,0.11940012127161,0.275719374418259,0.32437601685524,0.192043498158455,0.109490424394608,0.344693452119827,0.517373263835907,3.35246443748474,0.283689767122269,0.0423104576766491,0.460361152887344
